stem,split,image_path,mask_microaneurysms,mask_haemorrhages,mask_soft_exudates,mask_hard_exudates,mask_optic_disc
IDRiD_01,train,A. Segmentation\1. Original Images\c. All Images\IDRiD_01.jpg,A. Segmentation\2. All Segmentation Groundtruths\Combined MA\IDRiD_01_MA.tif,A. Segmentation\2. All Segmentation Groundtruths\Combined HE\IDRiD_01_HE.tif,,A. Segmentation\2. All Segmentation Groundtruths\Combined EX\IDRiD_01_EX.tif,A. Segmentation\2. All Segmentation Groundtruths\Combined OD\IDRiD_01_OD.tif
IDRiD_02,train,A. Segmentation\1. Original Images\c. All Images\IDRiD_02.jpg,A. Segmentation\2. All Segmentation Groundtruths\Combined MA\IDRiD_02_MA.tif,A. Segmentation\2. All Segmentation Groundtruths\Combined HE\IDRiD_02_HE.tif,,A. Segmentation\2. All Segmentation Groundtruths\Combined EX\IDRiD_02_EX.tif,A. Segmentation\2. All Segmentation Groundtruths\Combined OD\IDRiD_02_OD.tif
IDRiD_03,train,A. Segmentation\1. Original Images\c. All Images\IDRiD_03.jpg,A. Segmentation\2. All Segmentation Groundtruths\Combined MA\IDRiD_03_MA.tif,A. Segmentation\2. All Segmentation Groundtruths\Combined HE\IDRiD_03_HE.tif,A. Segmentation\2. All Segmentation Groundtruths\Combined SE\IDRiD_03_SE.tif,A. Segmentation\2. All Segmentation Groundtruths\Combined EX\IDRiD_03_EX.tif,A. Segmentation\2. All Segmentation Groundtruths\Combined OD\IDRiD_03_OD.tif
IDRiD_04,train,A. Segmentation\1. Original Images\c. All Images\IDRiD_04.jpg,A. Segmentation\2. All Segmentation Groundtruths\Combined MA\IDRiD_04_MA.tif,A. Segmentation\2. All Segmentation Groundtruths\Combined HE\IDRiD_04_HE.tif,,A. Segmentation\2. All Segmentation Groundtruths\Combined EX\IDRiD_04_EX.tif,A. Segmentation\2. All Segmentation Groundtruths\Combined OD\IDRiD_04_OD.tif
IDRiD_05,train,A. Segmentation\1. Original Images\c. All Images\IDRiD_05.jpg,A. Segmentation\2. All Segmentation Groundtruths\Combined MA\IDRiD_05_MA.tif,A. Segmentation\2. All Segmentation Groundtruths\Combined HE\IDRiD_05_HE.tif,,A. Segmentation\2. All Segmentation Groundtruths\Combined EX\IDRiD_05_EX.tif,A. Segmentation\2. All Segmentation Groundtruths\Combined OD\IDRiD_05_OD.tif
IDRiD_06,test,A. Segmentation\1. Original Images\c. All Images\IDRiD_06.jpg,A. Segmentation\2. All Segmentation Groundtruths\Combined MA\IDRiD_06_MA.tif,A. Segmentation\2. All Segmentation Groundtruths\Combined HE\IDRiD_06_HE.tif,,A. Segmentation\2. All Segmentation Groundtruths\Combined EX\IDRiD_06_EX.tif,A. Segmentation\2. All Segmentation Groundtruths\Combined OD\IDRiD_06_OD.tif
IDRiD_07,train,A. Segmentation\1. Original Images\c. All Images\IDRiD_07.jpg,A. Segmentation\2. All Segmentation Groundtruths\Combined MA\IDRiD_07_MA.tif,A. Segmentation\2. All Segmentation Groundtruths\Combined HE\IDRiD_07_HE.tif,,A. Segmentation\2. All Segmentation Groundtruths\Combined EX\IDRiD_07_EX.tif,A. Segmentation\2. All Segmentation Groundtruths\Combined OD\IDRiD_07_OD.tif
IDRiD_08,train,A. Segmentation\1. Original Images\c. All Images\IDRiD_08.jpg,A. Segmentation\2. All Segmentation Groundtruths\Combined MA\IDRiD_08_MA.tif,A. Segmentation\2. All Segmentation Groundtruths\Combined HE\IDRiD_08_HE.tif,A. Segmentation\2. All Segmentation Groundtruths\Combined SE\IDRiD_08_SE.tif,A. Segmentation\2. All Segmentation Groundtruths\Combined EX\IDRiD_08_EX.tif,A. Segmentation\2. All Segmentation Groundtruths\Combined OD\IDRiD_08_OD.tif
IDRiD_09,train,A. Segmentation\1. Original Images\c. All Images\IDRiD_09.jpg,A. Segmentation\2. All Segmentation Groundtruths\Combined MA\IDRiD_09_MA.tif,A. Segmentation\2. All Segmentation Groundtruths\Combined HE\IDRiD_09_HE.tif,,A. Segmentation\2. All Segmentation Groundtruths\Combined EX\IDRiD_09_EX.tif,A. Segmentation\2. All Segmentation Groundtruths\Combined OD\IDRiD_09_OD.tif
IDRiD_10,train,A. Segmentation\1. Original Images\c. All Images\IDRiD_10.jpg,A. Segmentation\2. All Segmentation Groundtruths\Combined MA\IDRiD_10_MA.tif,A. Segmentation\2. All Segmentation Groundtruths\Combined HE\IDRiD_10_HE.tif,,A. Segmentation\2. All Segmentation Groundtruths\Combined EX\IDRiD_10_EX.tif,A. Segmentation\2. All Segmentation Groundtruths\Combined OD\IDRiD_10_OD.tif
IDRiD_11,train,A. Segmentation\1. Original Images\c. All Images\IDRiD_11.jpg,A. Segmentation\2. All Segmentation Groundtruths\Combined MA\IDRiD_11_MA.tif,A. Segmentation\2. All Segmentation Groundtruths\Combined HE\IDRiD_11_HE.tif,,A. Segmentation\2. All Segmentation Groundtruths\Combined EX\IDRiD_11_EX.tif,A. Segmentation\2. All Segmentation Groundtruths\Combined OD\IDRiD_11_OD.tif
IDRiD_12,train,A. Segmentation\1. Original Images\c. All Images\IDRiD_12.jpg,A. Segmentation\2. All Segmentation Groundtruths\Combined MA\IDRiD_12_MA.tif,A. Segmentation\2. All Segmentation Groundtruths\Combined HE\IDRiD_12_HE.tif,,A. Segmentation\2. All Segmentation Groundtruths\Combined EX\IDRiD_12_EX.tif,A. Segmentation\2. All Segmentation Groundtruths\Combined OD\IDRiD_12_OD.tif
IDRiD_13,train,A. Segmentation\1. Original Images\c. All Images\IDRiD_13.jpg,A. Segmentation\2. All Segmentation Groundtruths\Combined MA\IDRiD_13_MA.tif,A. Segmentation\2. All Segmentation Groundtruths\Combined HE\IDRiD_13_HE.tif,A. Segmentation\2. All Segmentation Groundtruths\Combined SE\IDRiD_13_SE.tif,A. Segmentation\2. All Segmentation Groundtruths\Combined EX\IDRiD_13_EX.tif,A. Segmentation\2. All Segmentation Groundtruths\Combined OD\IDRiD_13_OD.tif
IDRiD_14,train,A. Segmentation\1. Original Images\c. All Images\IDRiD_14.jpg,A. Segmentation\2. All Segmentation Groundtruths\Combined MA\IDRiD_14_MA.tif,A. Segmentation\2. All Segmentation Groundtruths\Combined HE\IDRiD_14_HE.tif,A. Segmentation\2. All Segmentation Groundtruths\Combined SE\IDRiD_14_SE.tif,A. Segmentation\2. All Segmentation Groundtruths\Combined EX\IDRiD_14_EX.tif,A. Segmentation\2. All Segmentation Groundtruths\Combined OD\IDRiD_14_OD.tif
IDRiD_15,test,A. Segmentation\1. Original Images\c. All Images\IDRiD_15.jpg,A. Segmentation\2. All Segmentation Groundtruths\Combined MA\IDRiD_15_MA.tif,A. Segmentation\2. All Segmentation Groundtruths\Combined HE\IDRiD_15_HE.tif,,A. Segmentation\2. All Segmentation Groundtruths\Combined EX\IDRiD_15_EX.tif,A. Segmentation\2. All Segmentation Groundtruths\Combined OD\IDRiD_15_OD.tif
